group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
c_SVD_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,2,-2.4831,0.4235,-7.145,2.1789,False,Small (-0.2),23.9149,7.9388,0.8188
1,3,0.6101,0.9,-4.1707,5.3909,False,Very Small (0.05),21.4318,15.3404,1.6353
2,3,3.0932,0.2922,-1.762,7.9484,False,Very Small (0.2),24.525,15.7921,1.7656
c_Baseline_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,2,0.3936,0.9,-4.067,4.8542,False,Very Small (0.03),27.1064,7.8514,0.8098
1,3,-0.3189,0.9,-4.8932,4.2555,False,Very Small (-0.03),27.5,14.9881,1.5977
2,3,-0.7125,0.9,-5.358,3.933,False,Very Small (-0.05),26.7875,14.6129,1.6338
c_All_Picked,-,-,-,-,-,-,-,-,-,-
1,2,0.037,0.9,-0.2901,0.364,False,Very Small (0.04),0.5426,0.7573,0.0781
1,3,-0.0926,0.7721,-0.4279,0.2428,False,Very Small (-0.11),0.5795,1.0904,0.1162
2,3,-0.1295,0.6314,-0.4702,0.2111,False,Very Small (-0.13),0.45,0.94,0.1051
c_Title_Picked,-,-,-,-,-,-,-,-,-,-
1,2,0.038,0.9,-0.2144,0.2903,False,Very Small (0.06),0.2234,0.5113,0.0527
1,3,0.1016,0.6148,-0.1571,0.3603,False,Very Small (0.14),0.2614,0.7504,0.08
2,3,0.0636,0.8177,-0.1991,0.3264,False,Very Small (0.08),0.325,0.8827,0.0987
c_Image_Picked,-,-,-,-,-,-,-,-,-,-
1,2,-0.1579,0.172,-0.3647,0.049,False,Small (-0.28),0.3511,0.5994,0.0618
1,3,-0.0886,0.5812,-0.3007,0.1235,False,Very Small (-0.14),0.1932,0.5437,0.058
2,3,0.0693,0.7103,-0.1461,0.2847,False,Very Small (0.12),0.2625,0.6313,0.0706
c_Plot_Picked,-,-,-,-,-,-,-,-,-,-
1,2,-0.0938,0.6401,-0.3447,0.1571,False,Very Small (-0.14),0.4574,0.6336,0.0653
1,3,-0.0199,0.9,-0.2773,0.2374,False,Very Small (-0.03),0.3636,0.664,0.0708
2,3,0.0739,0.7631,-0.1875,0.3352,False,Very Small (0.1),0.4375,0.8545,0.0955
c_Genre_Picked,-,-,-,-,-,-,-,-,-,-
1,2,-0.1712,0.3069,-0.4454,0.1031,False,Small (-0.24),0.4894,0.6177,0.0637
1,3,-0.1144,0.5959,-0.3956,0.1669,False,Very Small (-0.14),0.3182,0.7812,0.0833
2,3,0.0568,0.876,-0.2288,0.3424,False,Very Small (0.07),0.375,0.9463,0.1058
c_Stars_Picked,-,-,-,-,-,-,-,-,-,-
1,2,0.2766,0.0302,0.0211,0.5321,True,Small (0.36),0.2234,0.4437,0.0458
1,3,0.0516,0.8787,-0.2104,0.3136,False,Very Small (0.09),0.5,1.0057,0.1072
2,3,-0.225,0.1159,-0.4911,0.0411,False,Small (-0.27),0.275,0.6359,0.0711
c_Director_Picked,-,-,-,-,-,-,-,-,-,-
1,2,-0.0858,0.791,-0.4135,0.2419,False,Very Small (-0.11),0.5745,0.7107,0.0733
1,3,0.188,0.3872,-0.148,0.5241,False,Very Small (0.19),0.4886,0.8969,0.0956
2,3,0.2739,0.1431,-0.0674,0.6151,False,Small (0.26),0.7625,1.1826,0.1322
c_Date_Picked,-,-,-,-,-,-,-,-,-,-
1,2,-0.0152,0.9,-0.2387,0.2082,False,Very Small (-0.02),0.2766,0.473,0.0488
1,3,-0.0516,0.8406,-0.2807,0.1775,False,Very Small (-0.1),0.2614,0.8093,0.0863
2,3,-0.0364,0.9,-0.2691,0.1963,False,Very Small (-0.05),0.225,0.5948,0.0665
c_Tag_Picked,-,-,-,-,-,-,-,-,-,-
1,2,-0.1477,0.6962,-0.5923,0.2968,False,Very Small (-0.12),1.0,1.0473,0.108
1,3,0.075,0.9,-0.3809,0.5309,False,Very Small (0.06),0.8523,1.3522,0.1441
2,3,0.2227,0.4953,-0.2403,0.6857,False,Very Small (0.16),1.075,1.4122,0.1579
c_SVD_Picked,-,-,-,-,-,-,-,-,-,-
1,2,0.2928,0.1975,-0.107,0.6926,False,Small (0.25),0.6277,0.8674,0.0895
1,3,0.0223,0.9,-0.3877,0.4324,False,Very Small (0.02),0.9205,1.3748,0.1466
2,3,-0.2705,0.2785,-0.6868,0.1459,False,Small (-0.21),0.65,1.1485,0.1284
c_Baseline_Picked,-,-,-,-,-,-,-,-,-,-
1,2,0.0273,0.9,-0.1727,0.2273,False,Very Small (0.05),0.234,0.4957,0.0511
1,3,-0.0715,0.6739,-0.2766,0.1336,False,Very Small (-0.14),0.2614,0.652,0.0695
2,3,-0.0989,0.5042,-0.3072,0.1094,False,Very Small (-0.16),0.1625,0.5613,0.0628
