group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
5,6,1.8897,0.7777,-5.0964,8.8759,FALSE,Very Small (0.12),23.3421,16.4223,2.664
,,,,,,,,,,
c_Title_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-3.9083,0.2665,-9.8457,2.0291,FALSE,Small (-0.4),29.1702,7.0041,1.0217
,,,,,,,,,,
4,6,-1.8544,0.7323,-7.9546,4.2458,FALSE,Very Small (-0.15),25.2619,12.0953,1.8663
,,,,,,,,,,
5,6,2.0539,0.6997,-4.2066,8.3143,FALSE,Very Small (0.15),27.3158,15.5722,2.5261
,,,,,,,,,,
c_Image_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-0.9782,0.9,-7.2699,5.3134,FALSE,Very Small (-0.08),27.383,8.8822,1.2956
,,,,,,,,,,
4,6,3.9591,0.3177,-2.505,10.4233,FALSE,Small (0.34),26.4048,14.3392,2.2126
,,,,,,,,,,
5,6,4.9373,0.1856,-1.6966,11.5713,FALSE,Small (0.35),31.3421,14.0314,2.2762
,,,,,,,,,,
c_Plot_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,1.1793,0.8825,-4.9255,7.2841,FALSE,Very Small (0.1),24.1064,7.8747,1.1486
,,,,,,,,,,
4,6,0.8673,0.9,-5.4049,7.1395,FALSE,Very Small (0.08),25.2857,14.2286,2.1955
,,,,,,,,,,
5,6,-0.312,0.9,-6.749,6.1249,FALSE,Very Small (-0.02),24.9737,13.8124,2.2407
,,,,,,,,,,
c_Genre_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,2.2543,0.6354,-3.749,8.2576,FALSE,Small (0.22),21.9362,5.9396,0.8664
,,,,,,,,,,
4,6,-0.6204,0.9,-6.7883,5.5475,FALSE,Very Small (-0.05),24.1905,13.4405,2.0739
,,,,,,,,,,
5,6,-2.8747,0.5288,-9.2046,3.4552,FALSE,Small (-0.2),21.3158,15.23,2.4706
,,,,,,,,,,
c_Stars_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-0.3825,0.9,-6.4386,5.6736,FALSE,Very Small (-0.03),24.7872,6.708,0.9785
,,,,,,,,,,
4,6,1.5549,0.8056,-4.6673,7.777,FALSE,Very Small (0.15),24.4048,15.3433,2.3675
,,,,,,,,,,
5,6,1.9373,0.7331,-4.4482,8.3229,FALSE,Very Small (0.14),26.3421,12.9454,2.1
,,,,,,,,,,
c_Director_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-1.2138,0.8974,-7.8755,5.4479,FALSE,Very Small (-0.09),23.4043,9.3429,1.3628
,,,,,,,,,,
4,6,-1.5358,0.8402,-8.3802,5.3085,FALSE,Very Small (-0.13),22.1905,15.736,2.4281
,,,,,,,,,,
5,6,-0.3221,0.9,-7.3462,6.7021,FALSE,Very Small (-0.02),21.8684,14.2548,2.3124
,,,,,,,,,,
c_Date_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,4.269,0.1869,-1.4789,10.0169,FALSE,Small (0.4),27.6596,6.291,0.9176
,,,,,,,,,,
4,6,3.0773,0.436,-2.8282,8.9828,FALSE,Small (0.29),31.9286,13.7031,2.1144
,,,,,,,,,,
5,6,-1.1917,0.8778,-7.2523,4.8689,FALSE,Very Small (-0.09),30.7368,13.3815,2.1708
,,,,,,,,,,
c_Tag_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-0.5608,0.9,-6.993,5.8714,FALSE,Very Small (-0.04),19.4894,9.0527,1.3205
,,,,,,,,,,
4,6,-3.6473,0.3942,-10.2558,2.9613,FALSE,Small (-0.32),18.9286,15.3184,2.3637
,,,,,,,,,,
5,6,-3.0865,0.5275,-9.8686,3.6956,FALSE,Small (-0.21),15.8421,13.5836,2.2036
,,,,,,,,,,
c_SVD_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-1.5512,0.8265,-8.1667,5.0644,FALSE,Very Small (-0.13),22.1702,7.9954,1.1663
,,,,,,,,,,
4,6,-1.8544,0.7746,-8.6514,4.9425,FALSE,Very Small (-0.15),20.619,15.1141,2.3322
,,,,,,,,,,
5,6,-0.3033,0.9,-7.2787,6.6722,FALSE,Very Small (-0.02),20.3158,15.6656,2.5413
,,,,,,,,,,
c_Baseline_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,4.2482,0.1431,-1.0574,9.5539,FALSE,Small (0.43),30.0851,8.153,1.1892
,,,,,,,,,,
4,6,1.5202,0.7664,-3.931,6.9713,FALSE,Very Small (0.15),34.3333,11.1851,1.7259
,,,,,,,,,,
5,6,-2.7281,0.4827,-8.3224,2.8663,FALSE,Small (-0.23),31.6053,12.2685,1.9902
,,,,,,,,,,
c_All_Picked,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-0.1459,0.7091,-0.6002,0.3084,FALSE,Very Small (-0.18),0.5745,0.773,0.1128
,,,,,,,,,,
4,6,0.0308,0.9,-0.436,0.4975,FALSE,Very Small (0.03),0.4286,0.8595,0.1326
,,,,,,,,,,
5,6,0.1767,0.6444,-0.3023,0.6557,FALSE,Very Small (0.18),0.6053,1.079,0.175
,,,,,,,,,,
c_Title_Picked,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,0.2031,0.2453,-0.0961,0.5024,FALSE,Small (0.33),0.1064,0.3117,0.0455
,,,,,,,,,,
4,6,0.1041,0.6852,-0.2033,0.4116,FALSE,Small (0.22),0.3095,0.8111,0.1252
,,,,,,,,,,
5,6,-0.099,0.7191,-0.4145,0.2165,FALSE,Very Small (-0.14),0.2105,0.5769,0.0936
,,,,,,,,,,
c_Image_Picked,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-0.1337,0.5254,-0.4266,0.1591,FALSE,Small (-0.28),0.2766,0.5398,0.0787
,,,,,,,,,,
4,6,-0.0134,0.9,-0.3143,0.2875,FALSE,Very Small (-0.02),0.1429,0.4174,0.0644
,,,,,,,,,,
5,6,0.1203,0.6163,-0.1885,0.4291,FALSE,Very Small (0.2),0.2632,0.76,0.1233
,,,,,,,,,,
c_Plot_Picked,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-0.1272,0.6726,-0.4925,0.2382,FALSE,Very Small (-0.19),0.5319,0.6545,0.0955
,,,,,,,,,,
4,6,-0.0845,0.839,-0.4599,0.2908,FALSE,Very Small (-0.11),0.4048,0.6648,0.1026
,,,,,,,,,,
5,6,0.0426,0.9,-0.3426,0.4278,FALSE,Very Small (0.06),0.4474,0.8605,0.1396
,,,,,,,,,,
c_Genre_Picked,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-0.2437,0.3201,-0.6428,0.1555,FALSE,Small (-0.37),0.5532,0.653,0.0953
,,,,,,,,,,
4,6,-0.1321,0.7076,-0.5422,0.278,FALSE,Very Small (-0.15),0.3095,0.6803,0.105
,,,,,,,,,,
5,6,0.1115,0.7852,-0.3093,0.5324,FALSE,Very Small (0.13),0.4211,1.0301,0.1671
,,,,,,,,,,
c_Stars_Picked,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,0.4088,0.0691,-0.0248,0.8424,FALSE,Small (0.45),0.234,0.428,0.0624
,,,,,,,,,,
4,6,0.0554,0.9,-0.3901,0.5009,FALSE,Very Small (0.09),0.6429,1.2262,0.1892
,,,,,,,,,,
5,6,-0.3534,0.1631,-0.8106,0.1038,FALSE,Small (-0.35),0.2895,0.7679,0.1246
,,,,,,,,,,
c_Director_Picked,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-0.0056,0.9,-0.4688,0.4577,FALSE,None (-0.01),0.5532,0.7463,0.1089
,,,,,,,,,,
4,6,0.0784,0.9,-0.3976,0.5543,FALSE,Very Small (0.08),0.5476,0.9423,0.1454
,,,,,,,,,,
5,6,0.084,0.9,-0.4045,0.5724,FALSE,Very Small (0.08),0.6316,1.0761,0.1746
,,,,,,,,,,
c_Date_Picked,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,0.0041,0.9,-0.2997,0.3078,FALSE,None (0.01),0.234,0.4761,0.0694
,,,,,,,,,,
4,6,-0.0761,0.8137,-0.3883,0.236,FALSE,Very Small (-0.14),0.2381,0.7262,0.112
,,,,,,,,,,
