group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
2,3,0.087,0.6847,-0.1693,0.3432,FALSE,Very Small (0.17),1.5,0.5522,0.0852
,,,,,,,,,,
c_All_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-5.0171,0.117,-10.9722,0.938,FALSE,Small (-0.47),24.2128,5.9048,0.8613
,,,,,,,,,,
1,3,2.7634,0.5304,-3.3333,8.8601,FALSE,Small (0.24),19.1957,13.8654,2.0443
,,,,,,,,,,
2,3,7.7805,0.0087,1.6526,13.9085,TRUE,Medium (0.54),26.9762,14.9054,2.2999
,,,,,,,,,,
c_Title_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.1055,0.9,-6.0414,5.8304,FALSE,None (-0.01),26.1489,6.238,0.9099
,,,,,,,,,,
1,3,-4.2442,0.2266,-10.3213,1.8329,FALSE,Small (-0.38),26.0435,13.89,2.048
,,,,,,,,,,
2,3,-4.1387,0.2468,-10.2469,1.9695,FALSE,Small (-0.29),21.9048,14.6234,2.2564
,,,,,,,,,,
c_Image_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,2.0865,0.6978,-4.2429,8.4159,FALSE,Very Small (0.18),25.9787,7.82,1.1407
,,,,,,,,,,
1,3,-3.0502,0.5067,-9.53,3.4297,FALSE,Small (-0.25),28.0652,14.7036,2.1679
,,,,,,,,,,
2,3,-5.1366,0.1517,-11.6497,1.3764,FALSE,Small (-0.34),22.9286,15.0874,2.328
,,,,,,,,,,
c_Plot_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0.5278,0.9,-5.5356,6.5911,FALSE,Very Small (0.05),23.2766,7.3417,1.0709
,,,,,,,,,,
1,3,2.4615,0.6072,-3.7461,8.6691,FALSE,Small (0.2),23.8043,13.2943,1.9601
,,,,,,,,,,
2,3,1.9337,0.7245,-4.3056,8.1731,FALSE,Very Small (0.13),25.7381,15.3354,2.3663
,,,,,,,,,,
c_Genre_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,1.6526,0.8065,-4.9738,8.279,FALSE,Very Small (0.14),25.0213,7.9659,1.162
,,,,,,,,,,
1,3,2.9073,0.5638,-3.8767,9.6913,FALSE,Small (0.23),26.6739,15.2024,2.2415
,,,,,,,,,,
2,3,1.2547,0.8951,-5.564,8.0734,FALSE,Very Small (0.08),27.9286,16.1221,2.4877
,,,,,,,,,,
c_Stars_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.9977,0.9,-7.3249,5.3296,FALSE,Very Small (-0.08),26.1064,7.9925,1.1658
,,,,,,,,,,
1,3,0.6793,0.9,-5.7984,7.1571,FALSE,Very Small (0.06),25.1087,15.5524,2.2931
,,,,,,,,,,
2,3,1.677,0.7955,-4.8339,8.1879,FALSE,Very Small (0.11),26.7857,14.0009,2.1604
,,,,,,,,,,
c_Director_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,2.518,0.6005,-3.7541,8.7902,FALSE,Small (0.24),24.8298,7.6622,1.1176
,,,,,,,,,,
1,3,-1.8298,0.7584,-8.2511,4.5916,FALSE,Very Small (-0.14),27.3478,12.7423,1.8787
,,,,,,,,,,
2,3,-4.3478,0.2508,-10.802,2.1064,FALSE,Small (-0.29),23,16.7288,2.5813
,,,,,,,,,,
c_Date_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,2.6693,0.5989,-3.9602,9.2988,FALSE,Small (0.21),25.7872,7.8986,1.1521
,,,,,,,,,,
1,3,-2.0968,0.7259,-8.8839,4.6904,FALSE,Very Small (-0.17),28.4565,15.8025,2.33
,,,,,,,,,,
2,3,-4.766,0.2263,-11.5879,2.0558,FALSE,Small (-0.3),23.6905,15.532,2.3966
,,,,,,,,,,
c_Tag_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,3.0185,0.5706,-4.1086,10.1456,FALSE,Small (0.23),23.8511,6.8904,1.0051
,,,,,,,,,,
1,3,1.4347,0.878,-5.8619,8.7312,FALSE,Very Small (0.11),26.8696,16.8729,2.4878
,,,,,,,,,,
2,3,-1.5839,0.8518,-8.9177,5.75,FALSE,Very Small (-0.09),25.2857,17.628,2.7201
,,,,,,,,,,
c_SVD_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-3.4857,0.4149,-9.9798,3.0085,FALSE,Small (-0.28),25.6596,7.5679,1.1039
,,,,,,,,,,
1,3,2.6738,0.5996,-3.9749,9.3224,FALSE,Small (0.22),22.1739,15.6735,2.3109
,,,,,,,,,,
2,3,6.1594,0.0776,-0.5232,12.842,FALSE,Small (0.4),28.3333,15.0927,2.3288
,,,,,,,,,,
c_Baseline_IndexAvg,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
